,locus,annotation_name1,nfxB_P,nfxB_Q,nfxB_Difference,Welch's T-test Test statistic delta_nfxB_wt,change
1340,PA2446,glycine cleavage system protein H2,0.096737953,0.079317348,-0.231207848,-2.01238711,NOT
1926,PA3426,probable enoyl CoA-hydratase/isomerase,0.037470037,0.030408649,-0.230876923,-2.700712476,NOT
1693,PA3067,probable transcriptional regulator,0.082308994,0.068368621,-0.230534554,-2.083894641,NOT
132,PA0212,malonate decarboxylase gamma subunit,0.253013545,0.228604897,-0.229356289,-1.39168261,NOT
2688,PA4564,conserved hypothetical protein,0.055557013,0.044328224,-0.229282856,-2.883309329,NOT
2704,PA4587,cytochrome c551 peroxidase precursor,0.087755181,0.071837518,-0.229172707,-2.427844618,NOT
2426,PA4217,flavin-containing monooxygenase,0.255672467,0.231550884,-0.228924751,-1.324837741,NOT
1718,PA3101,general secretion pathway protein G,0.170939032,0.146246667,-0.228749752,-1.699691328,NOT
1916,PA3413,conserved hypothetical protein,0.091561894,0.073851264,-0.228614807,-2.177209882,NOT
2664,PA4525,type 4 fimbrial precursor PilA,0.033643662,0.027509174,-0.228095531,-2.809061433,NOT
2582,PA4429,probable cytochrome c1 precursor,0.013588329,0.013123909,-0.227605343,-3.600596626,NOT
533,PA0926,hypothetical protein,0.011101025,0.010959538,-0.226727009,-3.862888113,NOT
2146,PA3757,Transcriptional regulator of N-Acetylglucosamine catabolism operon,0.05584346,0.044581688,-0.226675034,-2.588589232,NOT
2905,PA4876,osmotically inducible lipoprotein OsmE,0.21743367,0.193195918,-0.225300312,-1.52435386,NOT
754,PA1285,probable transcriptional regulator,0.091668345,0.073875902,-0.225250721,-2.00635372,NOT
1351,PA2520,Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux transporter CzcA,0.866828129,0.869042126,-0.224762917,-0.175018149,NOT
3062,PA5109,hypothetical protein,0.059245244,0.04725614,-0.22440052,-2.621991906,NOT
1149,PA2019,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexX precursor,0.05047447,0.040813559,-0.223300457,-2.539368856,NOT
1882,PA3341,probable transcriptional regulator,0.002375691,0.004765957,-0.222653389,-5.563614124,NOT
2847,PA4773,SpeD2,0.753283406,0.755587895,-0.222495556,-0.340413028,NOT
903,PA1564,conserved hypothetical protein,0.092713745,0.074951902,-0.221092224,-2.005802865,NOT
528,PA0915,conserved hypothetical protein,0.046051626,0.037375122,-0.220445156,-2.882531397,NOT
3313,PA5483,two-component response regulator AlgB,0.042987373,0.035026263,-0.220278263,-3.00865065,NOT
144,PA0261,Type 6 lipase immunity,0.176814332,0.151784852,-0.220082283,-1.59035405,NOT
3241,PA5357,hypothetical protein,0.055082315,0.044047016,-0.218946457,-2.541559105,NOT
3354,PA5553,ATP synthase epsilon chain,0.064733762,0.051380235,-0.218095303,-2.337784549,NOT
551,PA0950,probable arsenate reductase,0.059277761,0.04717338,-0.217921257,-2.37345744,NOT
2372,PA4117,bacterial phytochrome,0.15786585,0.133487679,-0.217603207,-1.758143699,NOT
587,PA1009,hypothetical protein,0.029179928,0.024153276,-0.217451096,-3.445173864,NOT
729,PA1226,probable transcriptional regulator,0.036149762,0.029865193,-0.217131138,-3.311079703,NOT
2222,PA3858,probable amino acid-binding protein,0.006544606,0.007323383,-0.216789246,-4.264539324,NOT
2294,PA3978,hypothetical protein,0.17650773,0.151597802,-0.21673727,-1.540044105,NOT
1153,PA2023,UTP--glucose-1-phosphate uridylyltransferase,0.068929601,0.05485155,-0.215884686,-2.543567951,NOT
1666,PA3022,hypothetical protein,0.153866771,0.130340104,-0.215174198,-1.890205985,NOT
421,PA0728.1,PfiT antitoxin,0.532601583,0.527119003,-0.215152264,-0.694580575,NOT
1585,PA2904,precorrin-2 methyltransferase CobI,0.121578467,0.101687179,-0.215100288,-1.864353746,NOT
1599,PA2939,probable aminopeptidase,0.643959366,0.645980707,-0.214663506,-0.489155255,NOT
2789,PA4705,PhuW,0.097501034,0.07969986,-0.213670731,-2.282323039,NOT
2681,PA4555,type 4 fimbrial biogenesis protein PilY2,0.100208918,0.08199169,-0.213237762,-2.118659578,NOT
3174,PA5260,porphobilinogen deaminase,0.025429759,0.022433155,-0.213169575,-3.36739705,NOT
1813,PA3228,probable ATP-binding/permease fusion ABC transporter,0.264249903,0.24169697,-0.212643623,-1.320828936,NOT
790,PA1344,probable short-chain dehydrogenase,0.013897238,0.013439446,-0.212548256,-3.434429678,NOT
376,PA0608,probable phosphoglycolate phosphatase,0.042252031,0.034374745,-0.212507725,-2.802793688,NOT
3092,PA5144,hypothetical protein,0.350079076,0.331475636,-0.212110519,-1.027246426,NOT
348,PA0578,conserved hypothetical protein,0.00075414,0.002507937,-0.211668491,-6.563307079,NOT
1531,PA2821,probable glutathione S-transferase,0.102842007,0.084431023,-0.211601257,-2.041849955,NOT
1360,PA2535,probable oxidoreductase,0.025974822,0.02264042,-0.211074829,-3.90268345,NOT
851,PA1474,hypothetical protein,0.189480967,0.164649518,-0.210808277,-1.495542681,NOT
1392,PA2583,probable sensor/response regulator hybrid,0.090921569,0.073483309,-0.210342884,-2.189320516,NOT
378,PA0611,transcriptional regulator PrtR,0.500423456,0.491386268,-0.209630013,-0.735391659,NOT
2399,PA4169,conserved hypothetical protein,0.193718063,0.168080679,-0.208696842,-1.464486727,NOT
276,PA0467,conserved hypothetical protein,0.251430932,0.227349374,-0.208435535,-1.406857321,NOT
3133,PA5202,thiolester hydrolase,0.224852265,0.200964682,-0.206869602,-1.410229757,NOT
2523,PA4353,conserved hypothetical protein,0.202121139,0.176784519,-0.206858635,-1.586866354,NOT
2692,PA4568,50S ribosomal protein L21,0.257831761,0.233960934,-0.204397678,-1.274437251,NOT
2925,PA4923,type-I LOG protein,0.162760567,0.138359729,-0.204390526,-1.600085909,NOT
1579,PA2896,SbrI,0.00132655,0.004674419,-0.203905106,-6.652295438,NOT
2933,PA4936,probable rRNA methylase,0.059127096,0.047111501,-0.20357275,-2.472240703,NOT
2576,PA4422,conserved hypothetical protein,0.028583813,0.024201005,-0.203423023,-2.866214143,NOT
2813,PA4735,hypothetical protein,0.003666522,0.00592691,-0.203281403,-4.606599251,NOT
560,PA0962,DNA-binding protein from starved cells,0.005648772,0.006869333,-0.20216608,-4.266223018,NOT
1492,PA2750,hypothetical protein,0.096629492,0.079119266,-0.201842785,-1.97078451,NOT
2345,PA4055,riboflavin synthase alpha chain,0.046386647,0.037338521,-0.201590538,-2.77683248,NOT
859,PA1486,beta-peptidyl aminopeptidase,0.022879547,0.019490196,-0.201406956,-3.448850625,NOT
2219,PA3854,hypothetical protein,0.249786829,0.225715388,-0.201355457,-1.306274466,NOT
472,PA0817,probable ring-cleaving dioxygenase,0.83434921,0.839025995,-0.20127964,-0.220767103,NOT
2499,PA4315,transcriptional regulator MvaT,0.052899423,0.042321627,-0.201249123,-2.680973669,NOT
2640,PA4495,hypothetical protein,0.003584842,0.005689189,-0.200919151,-4.651273721,NOT
1299,PA2342,mannitol dehydrogenase,0.273473536,0.251089888,-0.200361252,-1.215024583,NOT
811,PA1401,hypothetical protein,0.045158121,0.036895464,-0.199504852,-2.559177763,NOT
3099,PA5153,amino acid (lysine/arginine/ornithine/histidine/octopine) ABC transporter periplasmic binding protein,0.380332343,0.361628763,-0.198999405,-1.022586828,NOT
424,PA0733,probable pseudouridylate synthase,0.054056981,0.043273723,-0.198455811,-2.52648204,NOT
1320,PA2398,ferripyoverdine receptor,0.478735075,0.467754754,-0.198384762,-0.773710831,NOT
2960,PA4966,hypothetical protein,0.005609536,0.006887701,-0.198368549,-4.697312251,NOT
3109,PA5172,ornithine carbamoyltransferase,0.025803153,0.022705416,-0.198178768,-2.959087548,NOT
2869,PA4811,nitrate-inducible formate dehydrogenase,0.001694715,0.003980198,-0.198131561,-5.622820728,NOT
252,PA0424,multidrug resistance operon repressor MexR,0.218870953,0.194604888,-0.197876453,-1.456325174,NOT
1915,PA3408,Heme uptake outer membrane receptor HasR precursor,0.229963535,0.206862588,-0.197140217,-1.3513117,NOT
2079,PA3677,MexJ,0.168330416,0.143455357,-0.196754456,-1.579096901,NOT
913,PA1579,putative lipid binding protein,0.112686752,0.092426877,-0.196650505,-1.978664862,NOT
212,PA0371,putative Zn-dependent peptidase,0.017416953,0.01560315,-0.196628571,-4.209589129,NOT
2162,PA3779,putative periplasmic substrate binding protein,0.272160035,0.249643192,-0.195705414,-1.341399418,NOT
1386,PA2573,probable chemotaxis transducer,0.129946797,0.10929,-0.195534706,-1.994017045,NOT
1883,PA3342,hypothetical protein,0.721852695,0.722650602,-0.195111275,-0.377137847,NOT
2078,PA3675,hypothetical protein,0.142016433,0.120494572,-0.195046902,-1.823325904,NOT
2538,PA4372,hypothetical protein,0.027033462,0.023123711,-0.194972515,-3.508157149,NOT
3216,PA5322,phosphomannomutase AlgC,0.053064927,0.04236682,-0.194203854,-2.410875722,NOT
2081,PA3680,conserved hypothetical protein,0.164899345,0.139851519,-0.192975521,-1.586078298,NOT
398,PA0655,hypothetical protein,0.070030171,0.055510073,-0.192543507,-2.341577815,NOT
1078,PA1852,hypothetical protein,0.048435261,0.038996183,-0.192391872,-2.471928536,NOT
21,PA0025,shikimate dehydrogenase,0.00051058,0.00210989,-0.192249298,-6.839888358,NOT
566,PA0968,conserved hypothetical protein,0.084873316,0.069869467,-0.192186832,-2.157610895,NOT
1583,PA2902,hypothetical protein,0.04712581,0.037825919,-0.191779613,-2.490661465,NOT
1091,PA1880,probable oxidoreductase,0.04111833,0.033687047,-0.191355705,-2.811435587,NOT
1892,PA3351,FlgM,0.206030381,0.18100468,-0.191284657,-1.418117702,NOT
2256,PA3916,molybdopterin converting factor,0.162533646,0.1384,-0.191150188,-1.670524552,NOT
118,PA0178,probable two-component sensor,0.337712142,0.319795722,-0.190858364,-1.107442774,NOT
2765,PA4672,peptidyl-tRNA hydrolase,0.316248563,0.294757454,-0.190596104,-1.19690892,NOT
1621,PA2967,3-oxoacyl-[acyl-carrier-protein] reductase,0.007931027,0.009160998,-0.190526962,-4.398362854,NOT
2667,PA4529,dephosphocoenzyme A kinase,0.103697456,0.08513347,-0.190197945,-1.97294846,NOT
938,PA1611,hybrid sensor kinase,0.148997625,0.125679012,-0.189956188,-1.852893324,NOT
2299,PA3983,conserved hypothetical protein,0.023339278,0.020287293,-0.189507961,-3.137855852,NOT
1857,PA3304,conserved hypothetical protein,0.084629404,0.069972892,-0.189498901,-2.249957793,NOT
819,PA1421,guanidinobutyrase,0.060702856,0.04797931,-0.189434052,-2.425326792,NOT
2358,PA4070,probable transcriptional regulator,0.63881179,0.641751971,-0.189241409,-0.501591246,NOT
1609,PA2955,hypothetical protein,0.233720864,0.210451292,-0.188554287,-1.342632744,NOT
2344,PA4054,GTP cyclohydrolase II / 3,0.007579431,0.008654378,-0.18832159,-4.778282409,NOT
1558,PA2858,conserved hypothetical protein,0.088302056,0.071718475,-0.188040733,-2.220325221,NOT
1416,PA2620,ATP-binding protease component ClpA,0.001609815,0.0041875,-0.1875453,-6.455804328,NOT
2643,PA4498,metallo-dipeptidase aeruginosa,0.123066136,0.103368286,-0.18750906,-1.849606035,NOT
3069,PA5116,probable transcriptional regulator,0.264800205,0.242013233,-0.187393665,-1.243666135,NOT
1917,PA3414,hypothetical protein,0.051875611,0.041427509,-0.186800957,-2.495481587,NOT
1329,PA2419,probable hydrolase,0.487302046,0.475634259,-0.186422348,-0.740462501,NOT
3119,PA5184,hypothetical protein,0.115367693,0.095005222,-0.186402321,-2.177162505,NOT
1323,PA2402,pyoverdine peptide synthetase,0.083624967,0.069346445,-0.185612202,-2.256217007,NOT
2515,PA4336,conserved hypothetical protein,0.040554373,0.033337513,-0.185496807,-3.431914138,NOT
3193,PA5292,phosphorylcholine phosphatase,0.74161752,0.742080546,-0.185139656,-0.34539847,NOT
220,PA0382,DNA mismatch repair protein MicA,0.064358531,0.051210747,-0.185036659,-2.648925711,NOT
14,PA0017,conserved hypothetical protein,0.004927106,0.006460674,-0.184829712,-5.361650036,NOT
2835,PA4759,dihydrodipicolinate reductase,0.069610995,0.055376623,-0.183709145,-2.431155705,NOT
2236,PA3880,conserved hypothetical protein,0.121626495,0.101590269,-0.183214664,-1.899469353,NOT
176,PA0312,conserved hypothetical protein,0.069882369,0.055325262,-0.183157921,-2.314362741,NOT
2819,PA4741,30S ribosomal protein S15,0.192319211,0.167013319,-0.183102131,-1.547797371,NOT
3108,PA5171,arginine deiminase,0.026807319,0.023170984,-0.182816029,-3.065113989,NOT
848,PA1470,probable short-chain dehydrogenase,0.157344864,0.133546605,-0.182622433,-1.61758815,NOT
915,PA1581,succinate dehydrogenase (C subunit),0.209961768,0.185549922,-0.182506561,-1.41213803,NOT
169,PA0301,polyamine transport protein,0.050896371,0.040942937,-0.182186127,-2.5375744,NOT
2904,PA4875,hypothetical protein,0.154305349,0.130633411,-0.182087898,-1.692473979,NOT
1359,PA2534,probable transcriptional regulator,0.841924608,0.846031475,-0.181718826,-0.21202477,NOT
712,PA1196,transcriptional regulator DdaR,0.103454659,0.085115833,-0.181034565,-2.161647224,NOT
1500,PA2764,hypothetical protein,0.042862144,0.034940344,-0.180983067,-2.580303093,NOT
2841,PA4766,conserved hypothetical protein,0.441562911,0.428031834,-0.1809659,-0.823957541,NOT
1816,PA3236,BetX,0.367610561,0.348525201,-0.180688381,-0.974195221,NOT
1308,PA2378,probable aldehyde dehydrogenase,0.04057469,0.033302714,-0.180546284,-2.924561883,NOT
1589,PA2908,cobalamin biosynthetic protein CbiD,0.321673175,0.301297297,-0.180166721,-1.151187853,NOT
1997,PA3565,probable transcriptional regulator,0.80155622,0.805132956,-0.179818153,-0.264372191,NOT
1010,PA1753,conserved hypothetical protein,0.120211127,0.10060129,-0.179810524,-1.810386268,NOT
1411,PA2614,lipoprotein localization protein LolA,0.080989808,0.066608429,-0.179452896,-2.532721265,NOT
1649,PA3003,hypothetical protein,0.169080114,0.144175849,-0.179432392,-1.748174685,NOT
134,PA0225,ErfA,0.271592018,0.24937594,-0.17936945,-1.241811097,NOT
336,PA0555,fructose-1,0.033709038,0.027446224,-0.178990364,-2.794641361,NOT
419,PA0716.1,Pf4 repressor C,0.333009492,0.313340919,-0.178856373,-1.057654897,NOT
735,PA1244,QslA,0.121353887,0.101524054,-0.178524971,-2.102503001,NOT
1982,PA3533,GrxD,0.070967051,0.056298555,-0.178309441,-2.263121345,NOT
2552,PA4390,hypothetical protein,0.110931369,0.091279255,-0.178192616,-1.950988692,NOT
1519,PA2801,thiolester hydrolase,0.139824449,0.118875531,-0.177897453,-1.82768101,NOT
3068,PA5115,conserved hypothetical protein,0.221046653,0.197109533,-0.177360535,-1.501570286,NOT
1126,PA1986,pyrroloquinoline quinone biosynthesis protein B,0.158995527,0.134678857,-0.176661968,-1.738683308,NOT
1509,PA2788,probable chemotaxis transducer,0.00191099,0.004685185,-0.176421165,-6.37838152,NOT
2669,PA4535,hypothetical protein,0.03739018,0.030320346,-0.17612648,-2.66267674,NOT
1998,PA3566,conserved hypothetical protein,0.215608607,0.191752049,-0.175900459,-1.552700244,NOT
548,PA0946,hypothetical protein,0.044305922,0.03592008,-0.175143719,-2.60751971,NOT
3328,PA5500,zinc transport protein ZnuC,0.438456319,0.42533227,-0.174620628,-0.882184544,NOT
887,PA1539,hypothetical protein,0.154530222,0.130783314,-0.174614429,-1.628562554,NOT
1111,PA1941,hypothetical protein,0.178145757,0.152741794,-0.174341202,-1.594848632,NOT
2583,PA4430,probable cytochrome b,0.571575377,0.56894772,-0.174193859,-0.611581593,NOT
3215,PA5321,deoxyuridine 5'-triphosphate nucleotidohydrolase,0.102316731,0.083862354,-0.173818588,-2.275504543,NOT
2485,PA4286,hypothetical protein,0.192621752,0.16743983,-0.173780441,-1.628096324,NOT
2089,PA3690,probable metal-transporting P-type ATPase,0.001399361,0.004568182,-0.173773766,-5.588159813,NOT
525,PA0904,aspartate kinase alpha and beta chain,0.045805841,0.037283611,-0.173559189,-2.597338705,NOT
957,PA1648,probable oxidoreductase,0.368819124,0.349885835,-0.173263073,-1.046412127,NOT
3368,PA5570,50S ribosomal protein L34,0.162869244,0.138396834,-0.172092438,-1.63152964,NOT
2600,PA4449,ATP-phosphoribosyltransferase,0.028775427,0.024110138,-0.171256065,-3.160242798,NOT
1128,PA1988,pyrroloquinoline quinone biosynthesis protein D,0.038689732,0.031623529,-0.170783997,-3.230944868,NOT
1076,PA1847,NfuA,0.097069361,0.079485594,-0.170026302,-2.365765322,NOT
753,PA1283,probable transcriptional regulator,0.121757848,0.101671145,-0.169882298,-2.112105687,NOT
1910,PA3396,NosL protein,0.884841153,0.885029195,-0.169264317,-0.152648206,NOT
850,PA1473,hypothetical protein,0.083402551,0.069243366,-0.168548107,-2.158636355,NOT
700,PA1174,periplasmic nitrate reductase protein NapA,0.527362339,0.521190458,-0.168496609,-0.696936832,NOT
3361,PA5562,chromosome partitioning protein Spo0J,0.157645772,0.1336,-0.168034077,-1.809321441,NOT
1768,PA3163,cytidylate kinase,0.216001879,0.191748466,-0.167888165,-1.512691273,NOT
1990,PA3553,ArnC,0.264653832,0.241970686,-0.167211056,-1.350071866,NOT
2522,PA4352,conserved hypothetical protein,0.030645732,0.025673966,-0.167040825,-2.944380191,NOT
1550,PA2850,organic hydroperoxide resistance protein,0.129922192,0.109330832,-0.166903496,-1.781963885,NOT
1052,PA1813,probable hydroxyacylglutathione hydrolase,0.074105679,0.059460993,-0.166384697,-2.398246139,NOT
1566,PA2875,conserved hypothetical protein,0.149030764,0.125640423,-0.165564537,-1.829659425,NOT
1282,PA2301,hypothetical protein,0.135130355,0.114330049,-0.165049553,-1.785920357,NOT
2919,PA4915,probable chemotaxis transducer,0.48300216,0.472102128,-0.164461613,-0.78886137,NOT
1778,PA3177,diguanylate cyclase,0.862793613,0.865296104,-0.164357662,-0.181271916,NOT
131,PA0211,malonate decarboxylase beta subunit,0.363835363,0.345445722,-0.163944244,-1.016199694,NOT
2465,PA4262,50S ribosomal protein L4,0.174226709,0.149548814,-0.163821697,-1.597490688,NOT
1972,PA3507,probable short-chain dehydrogenase,0.826580852,0.83056549,-0.16382122,-0.22943601,NOT
554,PA0955,hypothetical protein,0.043454492,0.035260302,-0.163225174,-2.695787089,NOT
37,PA0055,hypothetical protein,0.280241387,0.258424919,-0.162983894,-1.269594602,NOT
2220,PA3855,hypothetical protein,0.812245438,0.814859038,-0.162950039,-0.249065884,NOT
3337,PA5516,pyridoxamine kinase,0.344613887,0.326492628,-0.162710667,-1.116318045,NOT
2110,PA3713,spermidine dehydrogenase,0.299074975,0.277256004,-0.162381172,-1.24825116,NOT
1064,PA1830,hypothetical protein,0.149961403,0.126232122,-0.162293434,-1.714262617,NOT
427,PA0739,probable transcriptional regulator,0.135263823,0.114428044,-0.162160397,-1.925221022,NOT
3278,PA5427,alcohol dehydrogenase,0.103334195,0.085042524,-0.161727905,-2.124144961,NOT
1204,PA2144,glycogen phosphorylase,0.818996112,0.821506614,-0.161450386,-0.249076262,NOT
1418,PA2622,cold-shock protein CspD,0.464479912,0.453426891,-0.16071558,-0.811536931,NOT
2457,PA4254,30S ribosomal protein S17,0.016332656,0.014816993,-0.160708427,-3.32930518,NOT
636,PA1084,flagellar P-ring protein precursor FlgI,0.007215004,0.008256532,-0.160611153,-4.006407762,NOT
796,PA1364,probable transmembrane sensor,0.379732886,0.361324958,-0.159986019,-0.948337563,NOT
1514,PA2796,transaldolase,0.14087628,0.119820823,-0.159752369,-1.765192271,NOT
552,PA0953,probable thioredoxin,0.049455038,0.039765152,-0.159417629,-2.467878877,NOT
1854,PA3300,long-chain-fatty-acid--CoA ligase,0.038051611,0.030995708,-0.158604145,-2.940518625,NOT
19,PA0023,quinone oxidoreductase,0.14764077,0.124556932,-0.15847826,-1.727170143,NOT
3269,PA5414,hypothetical protein,0.006204883,0.007366234,-0.158028126,-4.4244364,NOT
1372,PA2553,probable acyl-CoA thiolase,0.189021598,0.16430059,-0.157297611,-1.489556566,NOT
189,PA0333,hypothetical protein,0.433825756,0.421195992,-0.156995773,-0.8467756,NOT
1270,PA2264,conserved hypothetical protein,0.105013366,0.086464261,-0.156274319,-1.920299873,NOT
2382,PA4129,hypothetical protein,0.245781508,0.222102289,-0.155916214,-1.34933449,NOT
2976,PA4998,conserved hypothetical protein,0.004677257,0.006553936,-0.155334473,-5.699701527,NOT
2605,PA4455,probable permease of ABC transporter,0.511967892,0.503431619,-0.155051708,-0.740372881,NOT
2645,PA4500,probable binding protein component of ABC transporter,0.186068945,0.161419633,-0.154958725,-1.602735178,NOT
3334,PA5508,Glutamylpolyamine synthetase homologue,0.194724851,0.169087831,-0.154331684,-1.573097112,NOT
1632,PA2978,phosphotyrosine protein phosphatase,0.067349036,0.053285127,-0.153912067,-2.238644194,NOT
623,PA1066,probable short-chain dehydrogenase,0.094604695,0.076929437,-0.152919769,-2.30711216,NOT
3175,PA5261,alginate biosynthesis regulatory protein AlgR,0.159202561,0.134739006,-0.152673721,-1.609022842,NOT
1162,PA2044,hypothetical protein,0.133347787,0.112628324,-0.152651787,-1.998236269,NOT
3353,PA5552,glucosamine-1-phosphate acetyltransferase/N-acetylglucosamine-1-phosphate uridyltransferase,0.00118367,0.004641975,-0.152446747,-6.564188823,NOT
2504,PA4320,hypothetical protein,0.39491363,0.378246281,-0.152378559,-0.972700725,NOT
2342,PA4052,NusB protein,0.24799585,0.223982541,-0.152266026,-1.34972784,NOT
2273,PA3942,acyl-CoA thioesterase II,0.262691063,0.239785477,-0.151670456,-1.342173033,NOT
2803,PA4725,two-component sensor CbrA,0.24837439,0.224302179,-0.151083469,-1.350348411,NOT
2277,PA3948,Two-component response regulator RocA1,0.069492854,0.055459723,-0.150765896,-2.239429066,NOT
1967,PA3495,endonuclease III,0.341990309,0.324027838,-0.150688171,-1.053344214,NOT
1776,PA3172,probable hydrolase,0.073376438,0.058892405,-0.150677681,-2.169261855,NOT
2312,PA4001,soluble lytic transglycosylase B,0.225225077,0.20130711,-0.150324345,-1.352175082,NOT
1720,PA3103,general secretion pathway protein E,0.299285923,0.277405797,-0.15023756,-1.199392964,NOT
2053,PA3644,UDP-N-acetylglucosamine acyltransferase,0.032328754,0.026814118,-0.149748802,-2.834665624,NOT
1711,PA3091,hypothetical protein,0.074452273,0.05972327,-0.149719715,-2.333838762,NOT
202,PA0356,hypothetical protein,0.32292417,0.302059213,-0.149716854,-1.167335198,NOT
2658,PA4518,hypothetical protein,0.135185796,0.114333538,-0.148107529,-1.913315141,NOT
1127,PA1987,pyrroloquinoline quinone biosynthesis protein C,0.850821686,0.854010444,-0.148040771,-0.202354118,NOT
2021,PA3607,polyamine transport protein PotA,0.411757721,0.39884077,-0.146996498,-0.928566548,NOT
3205,PA5307,hypothetical protein,0.052896904,0.042360777,-0.146789074,-2.453751895,NOT
2469,PA4267,30S ribosomal protein S7,0.095380801,0.077575586,-0.146656513,-2.037413342,NOT
1674,PA3034,probable transcriptional regulator,0.219927255,0.19574187,-0.145273685,-1.388851799,NOT
1787,PA3191,glucose transport sensor,0.095484799,0.077576187,-0.145074844,-2.05634037,NOT
1524,PA2810,two-component sensor,0.600930336,0.601885881,-0.144316196,-0.569764493,NOT
2915,PA4906,probable transcriptional regulator,0.14563821,0.122582789,-0.143840313,-1.672872994,NOT
655,PA1104,flagellum-specific ATP synthase FliI,0.556227003,0.551947722,-0.143476486,-0.645931561,NOT
1616,PA2962,thymidylate kinase,0.012151849,0.012723247,-0.143167973,-3.842514958,NOT
53,PA0076,TagF1,0.084171492,0.069652568,-0.143136501,-2.247325119,NOT
1973,PA3508,probable transcriptional regulator,0.307365477,0.285997306,-0.143069267,-1.191104714,NOT
2210,PA3840,conserved hypothetical protein,0.289233671,0.268090115,-0.142757416,-1.164193525,NOT
3086,PA5138,hypothetical protein,0.290895636,0.269118535,-0.141973019,-1.176584026,NOT
11,PA0012,hypothetical protein,0.52745261,0.521108251,-0.141429901,-0.697169732,NOT
2149,PA3760,N-Acetyl-D-Glucosamine phosphotransferase system transporter,0.037111899,0.030363439,-0.141303062,-2.958500182,NOT
3348,PA5542,Pseudomonas imipenem beta-lactamase PIB-1,0.420237901,0.407605199,-0.140912533,-0.877634474,NOT
1532,PA2822,conserved hypothetical protein,0.90165079,0.901722116,-0.140676975,-0.128982163,NOT
1141,PA2010,HmgR,0.023329298,0.020226833,-0.140610695,-3.315749524,NOT
2371,PA4116,heme oxygenase,0.337112967,0.319116157,-0.140227318,-1.101985098,NOT
1830,PA3255,hypothetical protein,0.250656299,0.226539499,-0.1401968,-1.371778457,NOT
907,PA1572,conserved hypothetical protein,0.334588142,0.315503062,-0.14006567,-1.097101635,NOT
866,PA1500,probable oxidoreductase,0.02646459,0.022989583,-0.140061378,-3.146837829,NOT
3126,PA5194,hypothetical protein,0.875802814,0.87732388,-0.139789104,-0.169928129,NOT
1138,PA2007,maleylacetoacetate isomerase,0.279225043,0.257132743,-0.139298916,-1.309790837,NOT
2094,PA3695,hypothetical protein,0.109256054,0.090102013,-0.139274597,-1.935424839,NOT
731,PA1234,hypothetical protein,0.908210381,0.907729438,-0.139189243,-0.120643783,NOT
572,PA0974,conserved hypothetical protein,0.043227019,0.035183099,-0.139066696,-2.986605941,NOT
795,PA1359,transcriptional regulator,0.86207149,0.865514954,-0.138334274,-0.182377039,NOT
2943,PA4947,N-acetylmuramoyl-L-alanine amidase,0.272569156,0.250136961,-0.138009548,-1.255709643,NOT
3243,PA5360,two-component response regulator PhoB,0.204687738,0.179701928,-0.135805607,-1.422713895,NOT
998,PA1733,conserved hypothetical protein,0.156632343,0.132760807,-0.135803699,-1.759080331,NOT
2074,PA3669,hypothetical protein,0.06546586,0.051963425,-0.135758877,-2.704386355,NOT
3085,PA5137,hypothetical protein,0.157608105,0.133653824,-0.13536644,-1.629251067,NOT
2065,PA3657,methionine aminopeptidase,0.061283859,0.04838422,-0.135208607,-2.801611889,NOT
3234,PA5349,rubredoxin reductase,0.016956159,0.015369775,-0.134829998,-3.353404598,NOT
1747,PA3133,SawR,0.262741396,0.239749526,-0.134737492,-1.240728375,NOT
1161,PA2042,probable transporter (membrane subunit),0.505963759,0.497214996,-0.133205414,-0.737380972,NOT
515,PA0893,transcriptional regulator ArgR,0.211096171,0.186637068,-0.132249355,-1.56356367,NOT
1066,PA1832,probable protease,0.315069948,0.293557932,-0.132050991,-1.172241159,NOT
3156,PA5233,hypothetical protein,0.443648115,0.429640333,-0.132050991,-0.853875616,NOT
93,PA0140,alkyl hydroperoxide reductase subunit F,0.009259755,0.009531381,-0.131964684,-3.772931147,NOT
1975,PA3524,lactoylglutathione lyase,0.160882177,0.137094425,-0.131608963,-1.599699343,NOT
2296,PA3980,conserved hypothetical protein,0.082339712,0.068398782,-0.131472111,-2.423258636,NOT
2698,PA4577,hypothetical protein,0.232634851,0.209621945,-0.131317139,-1.336354611,NOT
219,PA0381,thiamine biosynthesis protein,0.042993024,0.034990918,-0.131231785,-3.124669411,NOT
1647,PA3001,probable glyceraldehyde-3-phosphate dehydrogenase,0.088168776,0.071727073,-0.130252361,-2.079978896,NOT
3132,PA5201,transcriptional accessory protein Tex,0.090937271,0.073430022,-0.130179405,-2.335686342,NOT
1964,PA3487,Tle5,0.302381095,0.280813376,-0.129759789,-1.179122921,NOT
809,PA1397,probable two-component response regulator,0.076476238,0.062448087,-0.129637241,-2.137235231,NOT
3018,PA5049,50S ribosomal protein L31,0.310124193,0.289075269,-0.129591465,-1.111408759,NOT
864,PA1494,mucoidy inhibitor gene A,0.028546092,0.024231447,-0.129468441,-3.023820402,NOT
2014,PA3594,probable transcriptional regulator,0.871595647,0.874172648,-0.129450321,-0.171860974,NOT
16,PA0019,polypeptide deformylase,0.054463343,0.043419238,-0.129363537,-2.684202581,NOT
